Invoice_no,Received Date,Processed Date,Amount,Assigned To,Date,Transaction Number,Trans Name,Transaction Description,Debit,Credit,Balance,Days_Taken
INV001,2024-01-01,2024-01-01,10000.0,acctnt_6,2024-01-01,7000,Revenue - Consulting,Equipment Purchase,0.0,10000.0,10000,0
INV002,2023-12-26,2024-01-01,2112.76,acctnt_2,2024-01-01,7001,Software Subscriptions,Cloud Service Renewal,2112.76,0.0,7887,6
INV003,2023-12-30,2024-01-01,2520.89,acctnt_4,2024-01-01,7002,Accounts Payable,Office Rent,2520.89,0.0,5366,2
INV004,2023-12-26,2024-01-01,4581.18,acctnt_1,2024-01-01,7003,Salaries Expense,Client Payment,4581.18,0.0,785,6
INV005,2023-12-28,2024-01-01,106.39,acctnt_1,2024-01-01,7004,Salaries Expense,Equipment Purchase,106.39,0.0,679,4
INV006,2023-12-29,2024-01-01,395.66,acctnt_3,2024-01-01,7005,Software Subscriptions,Software Purchase,395.66,0.0,283,3
INV007,2023-12-31,2024-01-01,308.33,acctnt_5,2024-01-01,7006,Revenue - Consulting,Equipment Purchase,0.0,308.33,591,1
INV008,2023-12-29,2024-01-01,864.62,acctnt_1,2024-01-01,7007,Accounts Receivable,Maintenance Fee,0.0,864.62,1456,3
INV009,2023-12-29,2024-01-01,550.42,acctnt_6,2024-01-01,7008,Equipment Purchase,Client Payment,550.42,0.0,906,3
INV010,2023-12-31,2024-01-01,2697.09,acctnt_1,2024-01-01,7009,Revenue - Consulting,Office Rent,0.0,2697.09,3603,1
INV011,2023-12-27,2024-01-01,2999.6,acctnt_2,2024-01-01,7010,Revenue - Consulting,Software Purchase,0.0,2999.6,6602,5
INV012,2023-12-31,2024-01-01,4804.02,acctnt_3,2024-01-01,7011,Revenue - Consulting,Maintenance Fee,0.0,4804.02,11406,1
INV013,2023-12-25,2024-01-01,3266.98,acctnt_1,2024-01-01,7012,Salaries Expense,Client Payment,3266.98,0.0,8139,7
INV014,2023-12-26,2024-01-01,3824.76,acctnt_5,2024-01-01,7013,Revenue - Consulting,Invoice Payment,0.0,3824.76,11964,6
INV015,2024-01-01,2024-01-01,1572.94,acctnt_5,2024-01-01,7014,Equipment Purchase,Office Rent,1572.94,0.0,10391,0
INV016,2023-12-30,2024-01-01,1597.05,acctnt_2,2024-01-01,7015,Office Rent,Cloud Service Renewal,1597.05,0.0,8794,2
INV017,2023-12-27,2024-01-01,3512.3,acctnt_2,2024-01-01,7016,Revenue - Consulting,Cloud Service Renewal,0.0,3512.3,12306,5
INV018,2023-12-29,2024-01-01,3749.08,acctnt_1,2024-01-01,7017,Accounts Payable,Maintenance Fee,3749.08,0.0,8557,3
INV019,2023-12-27,2024-01-01,4525.03,acctnt_1,2024-01-01,7018,Office Rent,Salary Expense,4525.03,0.0,4032,5
INV020,2023-12-31,2024-01-01,2317.24,acctnt_6,2024-01-01,7019,Salaries Expense,Equipment Purchase,2317.24,0.0,1715,1
INV021,2024-01-01,2024-01-01,2915.74,acctnt_6,2024-01-01,7020,Revenue - Consulting,Salary Expense,0.0,2915.74,4631,0
INV022,2023-12-27,2024-01-01,4564.8,acctnt_6,2024-01-01,7021,Software Subscriptions,Invoice Payment,4564.8,0.0,66,5
INV023,2023-12-29,2024-01-01,4971.21,acctnt_2,2024-01-01,7022,Revenue - Consulting,Maintenance Fee,0.0,4971.21,5037,3
INV024,2023-12-26,2024-01-01,3957.84,acctnt_1,2024-01-01,7023,Revenue - Software Sales,Salary Expense,0.0,3957.84,8995,6
INV025,2023-12-31,2024-01-01,4940.6,acctnt_2,2024-01-01,7024,Revenue - Consulting,Invoice Payment,0.0,4940.6,13936,1
INV026,2023-12-29,2024-01-01,4104.06,acctnt_6,2024-01-01,7025,Office Rent,Invoice Payment,4104.06,0.0,9832,3
