Date,Transaction Number,Trans Name,Transaction Description,Debit,Credit,Balance
01-01-2024,7000,Revenue - Consulting,Equipment Purchase,0,10000,10000
01-01-2024,7001,Software Subscriptions,Cloud Service Renewal,2112.76,0,7887
01-01-2024,7002,Accounts Payable,Office Rent,2520.89,0,5366
01-01-2024,7003,Salaries Expense,Client Payment,4581.18,0,785
01-01-2024,7004,Salaries Expense,Equipment Purchase,106.39,0,679
01-01-2024,7005,Software Subscriptions,Software Purchase,395.66,0,283
01-01-2024,7006,Revenue - Consulting,Equipment Purchase,0,308.33,591
01-01-2024,7007,Accounts Receivable,Maintenance Fee,0,864.62,1456
01-01-2024,7008,Equipment Purchase,Client Payment,550.42,0,906
01-01-2024,7009,Revenue - Consulting,Office Rent,0,2697.09,3603
01-01-2024,7010,Revenue - Consulting,Software Purchase,0,2999.6,6602
01-01-2024,7011,Revenue - Consulting,Maintenance Fee,0,4804.02,11406
01-01-2024,7012,Salaries Expense,Client Payment,3266.98,0,8139
01-01-2024,7013,Revenue - Consulting,Invoice Payment,0,3824.76,11964
01-01-2024,7014,Equipment Purchase,Office Rent,1572.94,0,10391
01-01-2024,7015,Office Rent,Cloud Service Renewal,1597.05,0,8794
01-01-2024,7016,Revenue - Consulting,Cloud Service Renewal,0,3512.3,12306
01-01-2024,7017,Accounts Payable,Maintenance Fee,3749.08,0,8557
01-01-2024,7018,Office Rent,Salary Expense,4525.03,0,4032
01-01-2024,7019,Salaries Expense,Equipment Purchase,2317.24,0,1715
01-01-2024,7020,Revenue - Consulting,Salary Expense,0,2915.74,4631
01-01-2024,7021,Software Subscriptions,Invoice Payment,4564.8,0,66
01-01-2024,7022,Revenue - Consulting,Maintenance Fee,0,4971.21,5037
01-01-2024,7023,Revenue - Software Sales,Salary Expense,0,3957.84,8995
01-01-2024,7024,Revenue - Consulting,Invoice Payment,0,4940.6,13936
01-01-2024,7025,Office Rent,Invoice Payment,4104.06,0,9832
01-01-2024,7026,Salaries Expense,Equipment Purchase,4818.56,0,5013
01-01-2024,7027,Revenue - Consulting,Invoice Payment,0,733.91,5747
01-01-2024,7028,Software Subscriptions,Software Purchase,1185.78,0,4561
01-01-2024,7029,Revenue - Consulting,Salary Expense,0,2704.55,7266
01-01-2024,7030,Revenue - Consulting,Cloud Service Renewal,0,4126.31,11392
01-01-2024,7031,Revenue - Consulting,Equipment Purchase,0,817.78,12210
02-01-2024,7032,Salaries Expense,Software Purchase,3196.68,0,9013
02-01-2024,7033,Revenue - Consulting,Client Payment,0,722.92,9736
02-01-2024,7034,Accounts Receivable,Client Payment,0,4074.26,13810
02-01-2024,7035,Salaries Expense,Salary Expense,4678.22,0,9132
02-01-2024,7036,Software Subscriptions,Client Payment,1983.03,0,7149
02-01-2024,7037,Revenue - Consulting,Cloud Service Renewal,0,2420.61,9570
02-01-2024,7038,Salaries Expense,Office Rent,1516.03,0,8054
02-01-2024,7039,Salaries Expense,Equipment Purchase,176.53,0,7877
02-01-2024,7040,Salaries Expense,Software Purchase,3406.49,0,4471
02-01-2024,7041,Salaries Expense,Software Purchase,699.54,0,3771
02-01-2024,7042,Revenue - Consulting,Invoice Payment,0,3087.74,6859
02-01-2024,7043,Revenue - Consulting,Software Purchase,0,2769.84,9629
02-01-2024,7044,Salaries Expense,Software Purchase,1032.71,0,8596
02-01-2024,7045,Salaries Expense,Software Purchase,1423.47,0,7173
02-01-2024,7046,Revenue - Software Sales,Client Payment,0,4277.66,11450
02-01-2024,7047,Office Rent,Salary Expense,2361.53,0,9089
02-01-2024,7048,Accounts Payable,Equipment Purchase,1885.18,0,7203
02-01-2024,7049,Salaries Expense,Equipment Purchase,1283.74,0,5920
02-01-2024,7050,Revenue - Software Sales,Invoice Payment,0,2029.82,7950
02-01-2024,7051,Revenue - Software Sales,Office Rent,0,551.84,8501
02-01-2024,7052,Revenue - Consulting,Salary Expense,0,2490.34,10992
02-01-2024,7053,Revenue - Consulting,Maintenance Fee,0,3056.32,14048
02-01-2024,7054,Revenue - Consulting,Office Rent,0,4900.4,18948
02-01-2024,7055,Equipment Purchase,Cloud Service Renewal,4703.84,0,14245
02-01-2024,7056,Revenue - Software Sales,Office Rent,0,3313.94,17559
03-01-2024,7057,Software Subscriptions,Maintenance Fee,4663.18,0,12895
03-01-2024,7058,Revenue - Consulting,Cloud Service Renewal,0,1737.51,14633
03-01-2024,7059,Salaries Expense,Cloud Service Renewal,684.38,0,13948
03-01-2024,7060,Salaries Expense,Office Rent,3486.4,0,10462
03-01-2024,7061,Accounts Payable,Office Rent,3692.74,0,6769
03-01-2024,7062,Accounts Payable,Client Payment,2316.13,0,4453
03-01-2024,7063,Revenue - Consulting,Software Purchase,0,3769.35,8223
03-01-2024,7064,Revenue - Software Sales,Office Rent,0,521.69,8744
03-01-2024,7065,Salaries Expense,Office Rent,1008.66,0,7736
03-01-2024,7066,Revenue - Consulting,Client Payment,0,454.54,8190
03-01-2024,7067,Revenue - Software Sales,Client Payment,0,3741.59,11932
03-01-2024,7068,Revenue - Software Sales,Office Rent,0,4217.59,16149
03-01-2024,7069,Software Subscriptions,Cloud Service Renewal,3879.72,0,12270
03-01-2024,7070,Accounts Payable,Invoice Payment,3460.57,0,8809
03-01-2024,7071,Office Rent,Office Rent,3614.96,0,5194
03-01-2024,7072,Revenue - Consulting,Cloud Service Renewal,0,1817.58,7012
03-01-2024,7073,Accounts Receivable,Client Payment,0,3857.71,10869
03-01-2024,7074,Revenue - Consulting,Salary Expense,0,1515.7,12385
03-01-2024,7075,Software Subscriptions,Maintenance Fee,2031.95,0,10353
03-01-2024,7076,Software Subscriptions,Office Rent,4119.64,0,6233
03-01-2024,7077,Salaries Expense,Cloud Service Renewal,1320.4,0,4913
03-01-2024,7078,Equipment Purchase,Client Payment,4085.63,0,827
03-01-2024,7079,Revenue - Consulting,Software Purchase,0,3153.6,3981
03-01-2024,7080,Revenue - Consulting,Software Purchase,0,1240.63,5222
03-01-2024,7081,Revenue - Software Sales,Invoice Payment,0,4754.37,9976
03-01-2024,7082,Revenue - Consulting,Equipment Purchase,0,1130.7,11107
03-01-2024,7083,Salaries Expense,Client Payment,2047.26,0,9059
03-01-2024,7084,Office Rent,Software Purchase,3334.89,0,5725
03-01-2024,7085,Accounts Receivable,Client Payment,0,1800.75,7525
03-01-2024,7086,Accounts Payable,Maintenance Fee,4118.9,0,3406
03-01-2024,7087,Revenue - Consulting,Software Purchase,0,2716.61,6123
03-01-2024,7088,Revenue - Consulting,Equipment Purchase,0,4590.8,10714
03-01-2024,7089,Office Rent,Equipment Purchase,4154.76,0,6559
03-01-2024,7090,Revenue - Consulting,Equipment Purchase,0,4661.36,11220
03-01-2024,7091,Revenue - Consulting,Equipment Purchase,0,791.4,12012
04-01-2024,7092,Salaries Expense,Equipment Purchase,1384.83,0,10627
04-01-2024,7093,Revenue - Consulting,Invoice Payment,0,3533.31,14160
04-01-2024,7094,Equipment Purchase,Invoice Payment,3072.44,0,11088
04-01-2024,7095,Accounts Receivable,Software Purchase,0,4337.5,15425
04-01-2024,7096,Revenue - Software Sales,Client Payment,0,497.25,15923
04-01-2024,7097,Salaries Expense,Office Rent,3001.65,0,12921
04-01-2024,7098,Software Subscriptions,Software Purchase,601,0,12320
04-01-2024,7099,Revenue - Consulting,Office Rent,0,2951.95,15272
04-01-2024,7100,Accounts Receivable,Invoice Payment,0,4350.6,19623
04-01-2024,7101,Salaries Expense,Maintenance Fee,2443.81,0,17179
04-01-2024,7102,Salaries Expense,Equipment Purchase,1959.42,0,15219
04-01-2024,7103,Revenue - Consulting,Invoice Payment,0,1920.35,17140
04-01-2024,7104,Revenue - Consulting,Equipment Purchase,0,2789.75,19929
04-01-2024,7105,Revenue - Consulting,Cloud Service Renewal,0,1136.58,21066
04-01-2024,7106,Accounts Receivable,Office Rent,0,2889.45,23955
04-01-2024,7107,Revenue - Consulting,Office Rent,0,1931.86,25887
04-01-2024,7108,Revenue - Consulting,Software Purchase,0,126.29,26014
04-01-2024,7109,Revenue - Consulting,Client Payment,0,3803.82,29817
