Invoice_no,Received Date,Processed Date,Amount,Assigned To,Date,Transaction Number,Trans Name,Transaction Description,Debit,Credit,Balance
INV001,01-01-2024,01-01-2024,10000,acctnt_6,01-01-2024,7000,Revenue - Consulting,Equipment Purchase,0,10000,10000
INV002,26-12-2023,01-01-2024,2112.76,acctnt_2,01-01-2024,7001,Software Subscriptions,Cloud Service Renewal,2112.76,0,7887
INV003,30-12-2023,01-01-2024,2520.89,acctnt_4,01-01-2024,7002,Accounts Payable,Office Rent,2520.89,0,5366
INV004,26-12-2023,01-01-2024,4581.18,acctnt_1,01-01-2024,7003,Salaries Expense,Client Payment,4581.18,0,785
INV005,28-12-2023,01-01-2024,106.39,acctnt_1,01-01-2024,7004,Salaries Expense,Equipment Purchase,106.39,0,679
INV006,29-12-2023,01-01-2024,395.66,acctnt_3,01-01-2024,7005,Software Subscriptions,Software Purchase,395.66,0,283
INV007,31-12-2023,01-01-2024,308.33,acctnt_5,01-01-2024,7006,Revenue - Consulting,Equipment Purchase,0,308.33,591
INV008,29-12-2023,01-01-2024,864.62,acctnt_1,01-01-2024,7007,Accounts Receivable,Maintenance Fee,0,864.62,1456
INV009,29-12-2023,01-01-2024,550.42,acctnt_6,01-01-2024,7008,Equipment Purchase,Client Payment,550.42,0,906
INV010,31-12-2023,01-01-2024,2697.09,acctnt_1,01-01-2024,7009,Revenue - Consulting,Office Rent,0,2697.09,3603
INV011,27-12-2023,01-01-2024,2999.6,acctnt_2,01-01-2024,7010,Revenue - Consulting,Software Purchase,0,2999.6,6602
INV012,31-12-2023,01-01-2024,4804.02,acctnt_3,01-01-2024,7011,Revenue - Consulting,Maintenance Fee,0,4804.02,11406
INV013,25-12-2023,01-01-2024,3266.98,acctnt_1,01-01-2024,7012,Salaries Expense,Client Payment,3266.98,0,8139
INV014,26-12-2023,01-01-2024,3824.76,acctnt_5,01-01-2024,7013,Revenue - Consulting,Invoice Payment,0,3824.76,11964
INV015,01-01-2024,01-01-2024,1572.94,acctnt_5,01-01-2024,7014,Equipment Purchase,Office Rent,1572.94,0,10391
INV016,30-12-2023,01-01-2024,1597.05,acctnt_2,01-01-2024,7015,Office Rent,Cloud Service Renewal,1597.05,0,8794
INV017,27-12-2023,01-01-2024,3512.3,acctnt_2,01-01-2024,7016,Revenue - Consulting,Cloud Service Renewal,0,3512.3,12306
INV018,29-12-2023,01-01-2024,3749.08,acctnt_1,01-01-2024,7017,Accounts Payable,Maintenance Fee,3749.08,0,8557
INV019,27-12-2023,01-01-2024,4525.03,acctnt_1,01-01-2024,7018,Office Rent,Salary Expense,4525.03,0,4032
INV020,31-12-2023,01-01-2024,2317.24,acctnt_6,01-01-2024,7019,Salaries Expense,Equipment Purchase,2317.24,0,1715
INV021,01-01-2024,01-01-2024,2915.74,acctnt_6,01-01-2024,7020,Revenue - Consulting,Salary Expense,0,2915.74,4631
INV022,27-12-2023,01-01-2024,4564.8,acctnt_6,01-01-2024,7021,Software Subscriptions,Invoice Payment,4564.8,0,66
INV023,29-12-2023,01-01-2024,4971.21,acctnt_2,01-01-2024,7022,Revenue - Consulting,Maintenance Fee,0,4971.21,5037
INV024,26-12-2023,01-01-2024,3957.84,acctnt_1,01-01-2024,7023,Revenue - Software Sales,Salary Expense,0,3957.84,8995
INV025,31-12-2023,01-01-2024,4940.6,acctnt_2,01-01-2024,7024,Revenue - Consulting,Invoice Payment,0,4940.6,13936
INV026,29-12-2023,01-01-2024,4104.06,acctnt_6,01-01-2024,7025,Office Rent,Invoice Payment,4104.06,0,9832
INV027,30-12-2023,01-01-2024,4818.56,acctnt_1,01-01-2024,7026,Salaries Expense,Equipment Purchase,4818.56,0,5013
INV028,01-01-2024,01-01-2024,733.91,acctnt_4,01-01-2024,7027,Revenue - Consulting,Invoice Payment,0,733.91,5747
INV029,30-12-2023,01-01-2024,1185.78,acctnt_2,01-01-2024,7028,Software Subscriptions,Software Purchase,1185.78,0,4561
